CO,NO2,O3,PM1,PM10,PM2_5,_id,hum,long,lat,t,temp
0.69,3.86,37.22,3,3,3,61797076852a26caeb0270e0,34,14.3361988,40.8195053,2021-05-31T06:48:09.000Z,22.7999992370605
0.65,-0.46,24.62,2,3,2,61797076852a26caeb0270e1,33.7999992370605,14.3361448,40.8194897,2021-05-31T06:48:14.000Z,22.7999992370605
0.67,19.14,1.08,2,3,2,61797076852a26caeb0270e2,34,14.3361326,40.8194868,2021-05-31T06:48:19.000Z,22.7000007629395
1.01,-140.09,35.4,2,2,2,61797076852a26caeb0270e3,34.9000015258789,14.3398855,40.8209307,2021-05-31T06:53:15.000Z,22.2000007629395
1.03,-143.72,67.95,3,3,3,61797076852a26caeb0270e4,34.5999984741211,14.3398864,40.8209378,2021-05-31T06:53:20.000Z,22.2999992370605
0.97,-153.07,59.13,2,4,2,61797076852a26caeb0270e5,34.5999984741211,14.3398868,40.8209298,2021-05-31T06:53:25.000Z,22.2000007629395
1.01,-145.53,66.46,2,5,2,61797076852a26caeb0270e6,34.4000015258789,14.3398864,40.8209157,2021-05-31T06:53:30.000Z,22.2999992370605
0.96,-145.37,52.43,2,6,2,61797076852a26caeb0270e7,34.2000007629395,14.3398833,40.8209128,2021-05-31T06:53:35.000Z,22.2999992370605
1.01,-141.47,75.99,2,6,3,61797076852a26caeb0270e8,34.4000015258789,14.3398925,40.8209127,2021-05-31T06:53:40.000Z,22
0.96,-134.77,87.17,4,7,4,61797076852a26caeb0270e9,34.5,14.3398943,40.8209127,2021-05-31T06:53:45.000Z,22.7000007629395
1,-123.07,50.96,3,6,4,61797076852a26caeb0270ea,35,14.3399076,40.820906,2021-05-31T06:53:50.000Z,22.2000007629395
1.03,-124.75,48.83,3,5,4,61797076852a26caeb0270eb,35,14.3399144,40.8209168,2021-05-31T06:53:55.000Z,22
0.98,-119.99,55.08,4,5,4,61797076852a26caeb0270ec,35.0999984741211,14.3399095,40.8209201,2021-05-31T06:54:00.000Z,22.2999992370605
0.94,-132.87,57.36,3,5,4,61797076852a26caeb0270ed,35.4000015258789,14.3399023,40.8209289,2021-05-31T06:54:05.000Z,22.5
0.94,-127.54,44.54,3,5,3,61797076852a26caeb0270ee,35,14.339902,40.8209356,2021-05-31T06:54:10.000Z,22.5
0.93,-134.59,53.04,4,5,4,61797076852a26caeb0270ef,35.0999984741211,14.3399002,40.8209319,2021-05-31T06:54:15.000Z,22
0.98,-129.3,51.2,3,4,4,61797076852a26caeb0270f0,35.0999984741211,14.3398962,40.8209259,2021-05-31T06:54:20.000Z,22.5
0.99,-141.04,75.87,3,4,4,61797076852a26caeb0270f1,35.5999984741211,14.3398966,40.8209243,2021-05-31T06:54:25.000Z,22.1000003814697
0.96,-124.71,46.36,3,3,3,61797076852a26caeb0270f2,35.7000007629395,14.339899,40.8209246,2021-05-31T06:54:30.000Z,22.1000003814697
0.9,-135.77,61.32,2,3,3,61797076852a26caeb0270f3,35.2999992370605,14.3399037,40.8209239,2021-05-31T06:54:35.000Z,22
0.95,-147.75,78.99,2,2,2,61797076852a26caeb0270f4,35,14.3399055,40.820929,2021-05-31T06:54:41.000Z,21.8999996185303
0.87,-143.05,67.13,3,4,4,61797076852a26caeb0270f5,35.2999992370605,14.3399072,40.8209323,2021-05-31T06:54:46.000Z,22.2000007629395
0.85,-150.2,66.06,2,4,3,61797076852a26caeb0270f6,35.2000007629395,14.3399073,40.8209367,2021-05-31T06:54:51.000Z,22.2000007629395
0.9,-153.57,55.41,2,4,3,61797076852a26caeb0270f7,35.0999984741211,14.3399031,40.8209345,2021-05-31T06:54:56.000Z,22
0.8,-153.03,48.05,2,4,3,61797076852a26caeb0270f8,34.9000015258789,14.3398974,40.8209334,2021-05-31T06:55:01.000Z,21.8999996185303
0.81,-160.27,63.94,2,3,2,61797076852a26caeb0270f9,34.4000015258789,14.3398747,40.8209285,2021-05-31T06:55:06.000Z,22.2999992370605
0.89,-149.04,58.67,3,3,3,61797076852a26caeb0270fa,34.2999992370605,14.3398714,40.8209161,2021-05-31T06:55:11.000Z,22
0.86,-144.39,77.49,3,3,3,61797076852a26caeb0270fb,34.5999984741211,14.3398686,40.8209103,2021-05-31T06:55:16.000Z,22.1000003814697
0.9,-158.48,83.35,2,3,3,61797076852a26caeb0270fc,34.5999984741211,14.3398746,40.820911,2021-05-31T06:55:21.000Z,21.7999992370605
0.89,-158.53,84.99,2,2,2,61797076852a26caeb0270fd,34.7999992370605,14.3398729,40.8209132,2021-05-31T06:55:26.000Z,22
0.84,-156.24,74.01,3,3,3,61797076852a26caeb0270fe,34.7999992370605,14.3398732,40.8209097,2021-05-31T06:55:31.000Z,22.2000007629395
0.74,-152.6,21.29,2,2,2,61797076852a26caeb0270ff,34.5999984741211,14.3398747,40.8209065,2021-05-31T06:55:36.000Z,22
0.83,-170.71,69.83,1,2,2,61797076852a26caeb027100,33.9000015258789,14.339875,40.8209054,2021-05-31T06:55:41.000Z,21.7999992370605
0.89,-159.17,83.01,1,1,1,61797076852a26caeb027101,34,14.3398591,40.8208972,2021-05-31T06:55:46.000Z,21.8999996185303
0.9,-162.77,70.86,1,1,1,61797076852a26caeb027102,34,14.3398702,40.8208937,2021-05-31T06:55:51.000Z,21.8999996185303
0.88,-165.96,75.24,1,2,2,61797076852a26caeb027103,34,14.3398684,40.8208974,2021-05-31T06:55:56.000Z,22
0.89,-161.43,71.22,2,3,3,61797076852a26caeb027104,34.0999984741211,14.3398757,40.8209076,2021-05-31T06:56:01.000Z,22
0.88,-166.59,64.57,2,3,3,61797076852a26caeb027105,33.9000015258789,14.3398709,40.8209253,2021-05-31T06:56:07.000Z,21.8999996185303
0.93,-161.21,73.8,2,3,3,61797076852a26caeb027106,33.7999992370605,14.339872,40.8209196,2021-05-31T06:56:12.000Z,22
0.86,-154.51,58.44,2,3,2,61797076852a26caeb027107,34,14.3398752,40.8209165,2021-05-31T06:56:17.000Z,22
0.9,-163.81,65.02,3,4,3,61797076852a26caeb027108,34,14.3398665,40.8209166,2021-05-31T06:56:22.000Z,21.7999992370605
0.87,-150.62,57.78,3,5,4,61797076852a26caeb027109,33.7999992370605,14.339851,40.820931,2021-05-31T06:56:27.000Z,21.7999992370605
0.96,-165.04,67.66,3,5,3,61797076852a26caeb02710a,33.9000015258789,14.3398518,40.8209321,2021-05-31T06:56:32.000Z,21.7999992370605
0.89,-168.89,82.48,3,5,4,61797076852a26caeb02710b,33.7999992370605,14.3398467,40.8209304,2021-05-31T06:56:37.000Z,22
0.9,-137.84,65.48,3,5,3,61797076852a26caeb02710c,34,14.3398614,40.8209328,2021-05-31T06:56:42.000Z,21.8999996185303
1.06,-151.28,80.39,3,3,3,61797076852a26caeb02710d,34.2000007629395,14.3398652,40.8209334,2021-05-31T06:56:47.000Z,21.7999992370605
1.07,-148.55,73.3,2,3,3,61797076852a26caeb02710e,34.5,14.3398683,40.8209307,2021-05-31T06:56:52.000Z,21.7000007629395
1.04,-149.31,64.99,3,3,3,61797076852a26caeb02710f,34.7999992370605,14.3398755,40.8209194,2021-05-31T06:56:57.000Z,22
1.06,-151.35,67.52,2,3,3,61797076852a26caeb027110,34.9000015258789,14.3398772,40.8209234,2021-05-31T06:57:02.000Z,21.8999996185303
1.03,-157.17,69.32,1,1,1,61797076852a26caeb027111,34.9000015258789,14.3398744,40.8209281,2021-05-31T06:57:07.000Z,22
1.07,-149.33,49.07,3,3,3,61797076852a26caeb027112,34.5,14.33987,40.8209338,2021-05-31T06:57:12.000Z,21.8999996185303
1.13,-152.56,57.94,1,2,2,61797076852a26caeb027113,34.7999992370605,14.3398671,40.8209269,2021-05-31T06:57:17.000Z,21.7999992370605
1.11,-146.93,50.38,1,2,2,61797076852a26caeb027114,34.4000015258789,14.3398545,40.8209058,2021-05-31T06:57:22.000Z,21.7999992370605
1.04,-164.18,67.29,1,3,2,61797076852a26caeb027115,33.7000007629395,14.3398129,40.8209099,2021-05-31T06:57:27.000Z,22
1.06,-137.04,59.42,1,3,2,61797076852a26caeb027116,33.7000007629395,14.3397481,40.8209428,2021-05-31T06:57:33.000Z,21.8999996185303
1.07,-15.23,-7.45,3,5,3,61797076852a26caeb027117,34.0999984741211,14.3397765,40.8209604,2021-05-31T06:57:38.000Z,21.8999996185303
1.29,36.59,-68.45,4,4,4,61797076852a26caeb027118,33.9000015258789,14.3398563,40.8209547,2021-05-31T06:57:43.000Z,21.8999996185303
1.29,-6.96,-33.52,6,6,6,61797076852a26caeb027119,33.9000015258789,14.3398778,40.8209419,2021-05-31T06:57:48.000Z,21.8999996185303
1.25,-64.1,-11.88,5,5,5,61797076852a26caeb02711a,34,14.3398846,40.8209363,2021-05-31T06:57:53.000Z,22.2000007629395
1.36,-86.61,6.75,4,5,5,61797076852a26caeb02711b,33.9000015258789,14.3399031,40.8209294,2021-05-31T06:57:58.000Z,21.7999992370605
1.68,-92.91,17.91,3,5,4,61797076852a26caeb02711c,33.9000015258789,14.3399146,40.8209246,2021-05-31T06:58:03.000Z,22.1000003814697
2.09,-109.22,22.94,3,5,4,61797076852a26caeb02711d,33.5,14.3399159,40.8209234,2021-05-31T06:58:08.000Z,22
2.01,-119.16,27.14,4,5,4,61797076852a26caeb02711e,33.2999992370605,14.3399181,40.8209143,2021-05-31T06:58:13.000Z,22
1.75,-129.51,46.36,3,4,3,61797076852a26caeb02711f,33.2000007629395,14.339914,40.8209133,2021-05-31T06:58:18.000Z,22.5
1.59,-124.77,31.81,6,6,6,61797076852a26caeb027120,33.2000007629395,14.3398963,40.8209178,2021-05-31T06:58:23.000Z,22.2000007629395
1.47,-123.28,44.23,7,9,9,61797076852a26caeb027121,33.0999984741211,14.3398923,40.8209169,2021-05-31T06:58:28.000Z,22
1.44,-121.59,40.05,6,8,8,61797076852a26caeb027122,33,14.3398832,40.8209297,2021-05-31T06:58:33.000Z,22.2000007629395
1.29,-132.3,55.2,5,7,7,61797076852a26caeb027123,33.2000007629395,14.3398865,40.8209305,2021-05-31T06:58:38.000Z,22.5
1.24,-140.16,44.85,6,7,7,61797076852a26caeb027124,33.0999984741211,14.3398775,40.8209354,2021-05-31T06:58:43.000Z,22.2999992370605
1.24,-128.77,73.12,4,4,4,61797076852a26caeb027125,33.2999992370605,14.3398795,40.8209343,2021-05-31T06:58:48.000Z,22.2000007629395
1.28,-124.5,47.31,4,4,4,61797076852a26caeb027126,33.4000015258789,14.3398895,40.8209189,2021-05-31T06:58:53.000Z,22.5
1.15,-132.47,41.85,4,4,4,61797076852a26caeb027127,33.2000007629395,14.339887,40.820914,2021-05-31T06:58:58.000Z,22.5
1.33,-111.22,15.01,3,5,4,61797076852a26caeb027128,33,14.3398824,40.820915,2021-05-31T06:59:03.000Z,22.2999992370605
1.33,-120.15,40.22,4,6,5,61797076852a26caeb027129,32.5999984741211,14.3398771,40.820926,2021-05-31T06:59:08.000Z,22.2999992370605
1.29,-123.27,36.52,3,6,4,61797076852a26caeb02712a,32.7000007629395,14.3398783,40.8209318,2021-05-31T06:59:13.000Z,22.2999992370605
1.17,-100.22,16.9,5,7,6,61797076852a26caeb02712b,32.2999992370605,14.339877,40.8209405,2021-05-31T06:59:18.000Z,22.5
1.12,-112.63,41.98,5,7,5,61797076852a26caeb02712c,32.5999984741211,14.3398793,40.8209485,2021-05-31T06:59:23.000Z,22.5
1.41,-119.77,50.64,4,5,5,61797076852a26caeb02712d,32.7000007629395,14.3398849,40.8209559,2021-05-31T06:59:28.000Z,22.5
2.83,-110.81,49.13,3,3,3,61797076852a26caeb02712e,32.7999992370605,14.3398931,40.8209676,2021-05-31T06:59:33.000Z,22.7000007629395
2.37,-124.32,74.65,4,5,5,61797076852a26caeb02712f,32.9000015258789,14.3398921,40.8209634,2021-05-31T06:59:39.000Z,22.7000007629395
1.74,-137.53,71.17,3,4,4,61797076852a26caeb027130,33.4000015258789,14.3398915,40.8209624,2021-05-31T06:59:44.000Z,22.6000003814697
1.55,-131.22,71.51,3,4,4,61797076852a26caeb027131,33.4000015258789,14.3398902,40.8209624,2021-05-31T06:59:49.000Z,23.1000003814697
1.22,-138.7,61.06,4,6,5,61797076852a26caeb027132,33.4000015258789,14.3398892,40.8209654,2021-05-31T06:59:54.000Z,22.7999992370605
1.05,-145.62,40.55,2,5,3,61797076852a26caeb027133,32.9000015258789,14.3399005,40.8209733,2021-05-31T06:59:59.000Z,22.6000003814697
1,-149.37,69.1,2,4,2,61797076852a26caeb027134,32.4000015258789,14.3399547,40.8209835,2021-05-31T07:00:04.000Z,22.6000003814697
0.95,-159.37,86.29,2,3,3,61797076852a26caeb027135,32.4000015258789,14.3399956,40.8209929,2021-05-31T07:00:09.000Z,23
0.78,-134.6,62.12,3,3,3,61797076852a26caeb027136,32.5999984741211,14.3400392,40.8210022,2021-05-31T07:00:14.000Z,22.7999992370605
0.76,-138.81,74.95,3,4,4,61797076852a26caeb027137,32.4000015258789,14.3400648,40.8210076,2021-05-31T07:00:19.000Z,22.7999992370605
0.68,-152.9,34.73,2,3,3,61797076852a26caeb027138,32.5999984741211,14.3401215,40.8210408,2021-05-31T07:00:24.000Z,22.7999992370605
0.64,-165.66,43.92,3,4,4,61797076852a26caeb027139,32,14.3401746,40.8210579,2021-05-31T07:00:29.000Z,22.7000007629395
0.63,-161.34,58.67,3,3,3,61797076852a26caeb02713a,31.2999992370605,14.3402027,40.8210749,2021-05-31T07:00:34.000Z,22.6000003814697
0.61,-167.66,69.66,2,3,3,61797076852a26caeb02713b,31.2999992370605,14.3402507,40.8211062,2021-05-31T07:00:39.000Z,22.6000003814697
0.61,-175.9,68.07,1,3,2,61797076852a26caeb02713c,31.2999992370605,14.3402805,40.8211469,2021-05-31T07:00:44.000Z,22.6000003814697
0.51,-151.13,70.93,2,3,2,61797076852a26caeb02713d,31.2000007629395,14.3402996,40.8211874,2021-05-31T07:00:49.000Z,22.7999992370605
0.54,-143.08,45.34,2,3,2,61797076852a26caeb02713e,31,14.3403476,40.8212253,2021-05-31T07:00:54.000Z,22.7000007629395
0.59,-160.65,73.03,4,5,5,61797076852a26caeb02713f,31.1000003814697,14.3403611,40.8211866,2021-05-31T07:00:59.000Z,22.5
0.72,-151.1,67.63,5,5,5,61797076852a26caeb027140,31.2999992370605,14.3403466,40.8211296,2021-05-31T07:01:04.000Z,23
0.73,-159.5,67.49,6,9,7,61797076852a26caeb027141,31.2999992370605,14.3403422,40.8211136,2021-05-31T07:01:09.000Z,23
0.92,-151.7,76.08,6,8,7,61797076852a26caeb027142,31.2000007629395,14.3403417,40.8211108,2021-05-31T07:01:14.000Z,22.7999992370605
